time,value,system,replica,metric
46.8,4.3416690000000004,M1-CN045,replica1,Drug - Asp105 minimum distance
47.0,4.625179,M1-CN045,replica1,Drug - Asp105 minimum distance
47.2,5.314744999999999,M1-CN045,replica1,Drug - Asp105 minimum distance
47.4,4.490056,M1-CN045,replica1,Drug - Asp105 minimum distance
47.6,4.750769,M1-CN045,replica1,Drug - Asp105 minimum distance
47.8,4.916451,M1-CN045,replica1,Drug - Asp105 minimum distance
48.0,4.36992,M1-CN045,replica1,Drug - Asp105 minimum distance
48.2,4.288799,M1-CN045,replica1,Drug - Asp105 minimum distance
48.4,4.597316,M1-CN045,replica1,Drug - Asp105 minimum distance
48.6,4.842491,M1-CN045,replica1,Drug - Asp105 minimum distance
48.8,3.4226010000000002,M1-CN045,replica1,Drug - Asp105 minimum distance
49.0,3.7101070000000003,M1-CN045,replica1,Drug - Asp105 minimum distance
49.2,4.187862,M1-CN045,replica1,Drug - Asp105 minimum distance
49.4,4.825151,M1-CN045,replica1,Drug - Asp105 minimum distance
49.6,4.332125,M1-CN045,replica1,Drug - Asp105 minimum distance
49.8,4.554679,M1-CN045,replica1,Drug - Asp105 minimum distance
50.0,3.9150099999999997,M1-CN045,replica1,Drug - Asp105 minimum distance
50.2,4.3637939999999995,M1-CN045,replica1,Drug - Asp105 minimum distance
50.4,4.551743999999999,M1-CN045,replica1,Drug - Asp105 minimum distance
50.6,4.5461849999999995,M1-CN045,replica1,Drug - Asp105 minimum distance
50.8,4.14672,M1-CN045,replica1,Drug - Asp105 minimum distance
51.0,4.048259,M1-CN045,replica1,Drug - Asp105 minimum distance
51.2,3.373796,M1-CN045,replica1,Drug - Asp105 minimum distance
51.4,3.983179,M1-CN045,replica1,Drug - Asp105 minimum distance
51.6,4.496542,M1-CN045,replica1,Drug - Asp105 minimum distance
51.8,4.0392220000000005,M1-CN045,replica1,Drug - Asp105 minimum distance
52.0,4.292482000000001,M1-CN045,replica1,Drug - Asp105 minimum distance
52.2,3.927811,M1-CN045,replica1,Drug - Asp105 minimum distance
52.4,4.233735,M1-CN045,replica1,Drug - Asp105 minimum distance
52.6,3.43163,M1-CN045,replica1,Drug - Asp105 minimum distance
52.8,4.0976230000000005,M1-CN045,replica1,Drug - Asp105 minimum distance
53.0,3.738879,M1-CN045,replica1,Drug - Asp105 minimum distance
53.2,4.8553239999999995,M1-CN045,replica1,Drug - Asp105 minimum distance
53.4,5.120812,M1-CN045,replica1,Drug - Asp105 minimum distance
53.6,4.321029,M1-CN045,replica1,Drug - Asp105 minimum distance
53.8,4.427886,M1-CN045,replica1,Drug - Asp105 minimum distance
54.0,4.144176,M1-CN045,replica1,Drug - Asp105 minimum distance
54.2,4.545834,M1-CN045,replica1,Drug - Asp105 minimum distance
54.4,4.416447,M1-CN045,replica1,Drug - Asp105 minimum distance
54.6,4.9947479999999995,M1-CN045,replica1,Drug - Asp105 minimum distance
54.8,4.236624,M1-CN045,replica1,Drug - Asp105 minimum distance
55.0,4.37485,M1-CN045,replica1,Drug - Asp105 minimum distance
55.2,4.460863,M1-CN045,replica1,Drug - Asp105 minimum distance
55.4,4.148989,M1-CN045,replica1,Drug - Asp105 minimum distance
55.6,4.733594,M1-CN045,replica1,Drug - Asp105 minimum distance
55.8,4.389409000000001,M1-CN045,replica1,Drug - Asp105 minimum distance
56.0,4.058593999999999,M1-CN045,replica1,Drug - Asp105 minimum distance
56.2,3.7209009999999996,M1-CN045,replica1,Drug - Asp105 minimum distance
56.4,4.122354,M1-CN045,replica1,Drug - Asp105 minimum distance
56.6,4.710191,M1-CN045,replica1,Drug - Asp105 minimum distance
56.8,3.9429170000000004,M1-CN045,replica1,Drug - Asp105 minimum distance
57.0,4.222855,M1-CN045,replica1,Drug - Asp105 minimum distance
57.2,3.8233650000000003,M1-CN045,replica1,Drug - Asp105 minimum distance
57.4,3.988433,M1-CN045,replica1,Drug - Asp105 minimum distance
57.6,4.34616,M1-CN045,replica1,Drug - Asp105 minimum distance
57.8,4.14654,M1-CN045,replica1,Drug - Asp105 minimum distance
58.0,3.645834,M1-CN045,replica1,Drug - Asp105 minimum distance
58.2,4.25711,M1-CN045,replica1,Drug - Asp105 minimum distance
58.4,4.100878,M1-CN045,replica1,Drug - Asp105 minimum distance
58.6,4.2398679999999995,M1-CN045,replica1,Drug - Asp105 minimum distance
58.8,3.5565580000000003,M1-CN045,replica1,Drug - Asp105 minimum distance
59.0,4.035567,M1-CN045,replica1,Drug - Asp105 minimum distance
59.2,4.508594,M1-CN045,replica1,Drug - Asp105 minimum distance
59.4,4.435919,M1-CN045,replica1,Drug - Asp105 minimum distance
59.6,4.22186,M1-CN045,replica1,Drug - Asp105 minimum distance
59.8,4.652032999999999,M1-CN045,replica1,Drug - Asp105 minimum distance
60.0,4.009963,M1-CN045,replica1,Drug - Asp105 minimum distance
60.2,4.37253,M1-CN045,replica1,Drug - Asp105 minimum distance
60.4,3.511621,M1-CN045,replica1,Drug - Asp105 minimum distance
60.6,3.597025,M1-CN045,replica1,Drug - Asp105 minimum distance
60.8,4.2521189999999995,M1-CN045,replica1,Drug - Asp105 minimum distance
61.0,4.187148,M1-CN045,replica1,Drug - Asp105 minimum distance
61.2,3.978367,M1-CN045,replica1,Drug - Asp105 minimum distance
61.4,4.431408,M1-CN045,replica1,Drug - Asp105 minimum distance
61.6,4.096204,M1-CN045,replica1,Drug - Asp105 minimum distance
61.8,4.21152,M1-CN045,replica1,Drug - Asp105 minimum distance
62.0,4.063508000000001,M1-CN045,replica1,Drug - Asp105 minimum distance
62.2,3.525138,M1-CN045,replica1,Drug - Asp105 minimum distance
62.4,3.59014,M1-CN045,replica1,Drug - Asp105 minimum distance
62.6,3.8751770000000003,M1-CN045,replica1,Drug - Asp105 minimum distance
62.8,4.020113,M1-CN045,replica1,Drug - Asp105 minimum distance
63.0,4.599228,M1-CN045,replica1,Drug - Asp105 minimum distance
63.2,3.923647,M1-CN045,replica1,Drug - Asp105 minimum distance
63.4,3.953366,M1-CN045,replica1,Drug - Asp105 minimum distance
63.6,4.151202,M1-CN045,replica1,Drug - Asp105 minimum distance
63.8,4.253856,M1-CN045,replica1,Drug - Asp105 minimum distance
64.0,3.745147,M1-CN045,replica1,Drug - Asp105 minimum distance
64.2,4.236011,M1-CN045,replica1,Drug - Asp105 minimum distance
64.4,3.8064419999999997,M1-CN045,replica1,Drug - Asp105 minimum distance
64.6,4.498055,M1-CN045,replica1,Drug - Asp105 minimum distance
64.8,4.98583,M1-CN045,replica1,Drug - Asp105 minimum distance
65.0,4.415121,M1-CN045,replica1,Drug - Asp105 minimum distance
65.2,3.8219760000000003,M1-CN045,replica1,Drug - Asp105 minimum distance
65.4,3.705928,M1-CN045,replica1,Drug - Asp105 minimum distance
65.6,4.2673749999999995,M1-CN045,replica1,Drug - Asp105 minimum distance
65.8,4.331619,M1-CN045,replica1,Drug - Asp105 minimum distance
66.0,3.572689,M1-CN045,replica1,Drug - Asp105 minimum distance
66.2,4.38008,M1-CN045,replica1,Drug - Asp105 minimum distance
66.4,3.8660840000000003,M1-CN045,replica1,Drug - Asp105 minimum distance
66.6,4.936506,M1-CN045,replica1,Drug - Asp105 minimum distance
66.8,3.5839929999999995,M1-CN045,replica1,Drug - Asp105 minimum distance
67.0,5.257166,M1-CN045,replica1,Drug - Asp105 minimum distance
67.2,4.939179,M1-CN045,replica1,Drug - Asp105 minimum distance
67.4,4.484037,M1-CN045,replica1,Drug - Asp105 minimum distance
67.6,4.34753,M1-CN045,replica1,Drug - Asp105 minimum distance
67.8,3.962928,M1-CN045,replica1,Drug - Asp105 minimum distance
68.0,4.580885,M1-CN045,replica1,Drug - Asp105 minimum distance
68.2,4.450226,M1-CN045,replica1,Drug - Asp105 minimum distance
68.4,4.979458,M1-CN045,replica1,Drug - Asp105 minimum distance
68.6,5.01753,M1-CN045,replica1,Drug - Asp105 minimum distance
68.8,4.176243,M1-CN045,replica1,Drug - Asp105 minimum distance
69.0,4.699628000000001,M1-CN045,replica1,Drug - Asp105 minimum distance
69.2,5.0638819999999996,M1-CN045,replica1,Drug - Asp105 minimum distance
69.4,4.559276,M1-CN045,replica1,Drug - Asp105 minimum distance
69.6,4.77792,M1-CN045,replica1,Drug - Asp105 minimum distance
69.8,4.904986,M1-CN045,replica1,Drug - Asp105 minimum distance
70.0,4.364002,M1-CN045,replica1,Drug - Asp105 minimum distance
70.2,4.3832070000000005,M1-CN045,replica1,Drug - Asp105 minimum distance
70.4,4.3829899999999995,M1-CN045,replica1,Drug - Asp105 minimum distance
70.6,3.872789,M1-CN045,replica1,Drug - Asp105 minimum distance
70.8,4.593712,M1-CN045,replica1,Drug - Asp105 minimum distance
71.0,4.085167,M1-CN045,replica1,Drug - Asp105 minimum distance
71.2,3.533736,M1-CN045,replica1,Drug - Asp105 minimum distance
71.4,4.755356,M1-CN045,replica1,Drug - Asp105 minimum distance
71.6,4.266064,M1-CN045,replica1,Drug - Asp105 minimum distance
71.8,4.579268,M1-CN045,replica1,Drug - Asp105 minimum distance
72.0,3.5226960000000003,M1-CN045,replica1,Drug - Asp105 minimum distance
72.2,3.7634440000000002,M1-CN045,replica1,Drug - Asp105 minimum distance
72.4,3.910362,M1-CN045,replica1,Drug - Asp105 minimum distance
72.6,4.5304660000000005,M1-CN045,replica1,Drug - Asp105 minimum distance
72.8,4.862245,M1-CN045,replica1,Drug - Asp105 minimum distance
73.0,4.9057640000000005,M1-CN045,replica1,Drug - Asp105 minimum distance
73.2,4.809802,M1-CN045,replica1,Drug - Asp105 minimum distance
