system,time,mean,std,n,sem
M1-CN045,714.6,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,714.8,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,715.0,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,715.2,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,715.4,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,715.6,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,715.8,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,716.0,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,716.2,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,716.4,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,716.6,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,716.8,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,717.0,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,717.2,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,717.4,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,717.6,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,717.8,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,718.0,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,718.2,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,718.4,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,718.6,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,718.8,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,719.0,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,719.2,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,719.4,0.2222222222222222,0.3849001794597505,3,0.22222222222222224
M1-CN045,719.6,0.2222222222222222,0.3849001794597505,3,0.22222222222222224
M1-CN045,719.8,0.2222222222222222,0.3849001794597505,3,0.22222222222222224
M1-CN045,720.0,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,720.2,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,720.4,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,720.6,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,720.8,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,721.0,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,721.2,0.2222222222222222,0.3849001794597505,3,0.22222222222222224
M1-CN045,721.4,0.2222222222222222,0.3849001794597505,3,0.22222222222222224
M1-CN045,721.6,0.2222222222222222,0.3849001794597505,3,0.22222222222222224
M1-CN045,721.8,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,722.0,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,722.2,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,722.4,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,722.6,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,722.8,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,723.0,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,723.2,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,723.4,0.2222222222222222,0.3849001794597505,3,0.22222222222222224
M1-CN045,723.6,0.2222222222222222,0.3849001794597505,3,0.22222222222222224
M1-CN045,723.8,0.2222222222222222,0.3849001794597505,3,0.22222222222222224
M1-CN045,724.0,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,724.2,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,724.4,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,724.6,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,724.8,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,725.0,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,725.2,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,725.4,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,725.6,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,725.8,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,726.0,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,726.2,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,726.4,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,726.6,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,726.8,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,727.0,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,727.2,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,727.4,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,727.6,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,727.8,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,728.0,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,728.2,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,728.4,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,728.6,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,728.8,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,729.0,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,729.2,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,729.4,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,729.6,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,729.8,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,730.0,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,730.2,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,730.4,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,730.6,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,730.8,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,731.0,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,731.2,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,731.4,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,731.6,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,731.8,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,732.0,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,732.2,0.2222222222222222,0.3849001794597505,3,0.22222222222222224
M1-CN045,732.4,0.1111111111111111,0.19245008972987526,3,0.11111111111111112
M1-CN045,732.6,0.0,0.0,3,0.0
M1-CN045,732.8,0.1111111111111111,0.19245008972987526,3,0.11111111111111112
M1-CN045,733.0,0.2222222222222222,0.3849001794597505,3,0.22222222222222224
M1-CN045,733.2,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,733.4,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,733.6,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,733.8,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
M1-CN045,734.0,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
