system,replica,angle_bin_center,prob
M1-Clemastine,replica1,177.5,0.0
M1-Clemastine,replica2,-177.5,0.10377924415116976
M1-Clemastine,replica2,-172.5,0.11297740451909619
M1-Clemastine,replica2,-167.5,0.08378324335132974
M1-Clemastine,replica2,-162.5,0.05458908218356329
M1-Clemastine,replica2,-157.5,0.03159368126374725
M1-Clemastine,replica2,-152.5,0.016396720655868825
M1-Clemastine,replica2,-147.5,0.009998000399920015
M1-Clemastine,replica2,-142.5,0.0023995200959808036
M1-Clemastine,replica2,-137.5,0.001999600079984003
M1-Clemastine,replica2,-132.5,0.0003999200159968006
M1-Clemastine,replica2,-127.5,0.0005998800239952009
M1-Clemastine,replica2,-122.5,0.0
M1-Clemastine,replica2,-117.5,0.0001999600079984003
M1-Clemastine,replica2,-112.5,0.0
M1-Clemastine,replica2,-107.5,0.0
M1-Clemastine,replica2,-102.5,0.0
M1-Clemastine,replica2,-97.5,0.0
M1-Clemastine,replica2,-92.5,0.0
M1-Clemastine,replica2,-87.5,0.0
M1-Clemastine,replica2,-82.5,0.0
M1-Clemastine,replica2,-77.5,0.0001999600079984003
M1-Clemastine,replica2,-72.5,0.0013997200559888023
M1-Clemastine,replica2,-67.5,0.007198560287942412
M1-Clemastine,replica2,-62.5,0.02299540091981604
M1-Clemastine,replica2,-57.5,0.04999000199960008
M1-Clemastine,replica2,-52.5,0.07918416316736653
M1-Clemastine,replica2,-47.5,0.09338132373525294
M1-Clemastine,replica2,-42.5,0.08218356328734253
M1-Clemastine,replica2,-37.5,0.05378924215156969
M1-Clemastine,replica2,-32.5,0.027394521095780843
M1-Clemastine,replica2,-27.5,0.008998200359928014
M1-Clemastine,replica2,-22.5,0.004399120175964807
M1-Clemastine,replica2,-17.5,0.0011997600479904018
M1-Clemastine,replica2,-12.5,0.0
M1-Clemastine,replica2,-7.5,0.0
M1-Clemastine,replica2,-2.5,0.0
M1-Clemastine,replica2,2.5,0.0
M1-Clemastine,replica2,7.5,0.0
M1-Clemastine,replica2,12.5,0.0
M1-Clemastine,replica2,17.5,0.0
M1-Clemastine,replica2,22.5,0.0
M1-Clemastine,replica2,27.5,0.0
M1-Clemastine,replica2,32.5,0.0
M1-Clemastine,replica2,37.5,0.0
M1-Clemastine,replica2,42.5,0.0
M1-Clemastine,replica2,47.5,0.0
M1-Clemastine,replica2,52.5,0.0
M1-Clemastine,replica2,57.5,0.0
M1-Clemastine,replica2,62.5,0.0
M1-Clemastine,replica2,67.5,0.0
M1-Clemastine,replica2,72.5,0.0001999600079984003
M1-Clemastine,replica2,77.5,0.0001999600079984003
M1-Clemastine,replica2,82.5,0.0003999200159968006
